url,index,resolved,status,error,redirects,chain
https://www.smashwords.com/books/download/100021/8/latest/0/0/three-plays.epub,0,https://www.smashwords.com/books/download/100021/8/latest/0/0/three-plays.epub,503,,,hit
https://www.smashwords.com/books/download/100047/8/latest/0/0/frey.epub,1,https://www.smashwords.com/books/download/100047/8/latest/0/0/frey.epub,503,,,hit
https://www.smashwords.com/books/download/10005/8/latest/0/0/the-weight-of-blood-the-half-orcs-book-1.epub,2,https://www.smashwords.com/books/download/10005/8/latest/0/0/the-weight-of-blood-the-half-orcs-book-1.epub,503,,,hit
https://www.smashwords.com/books/download/100171/8/latest/0/0/broken-a-ya-paranormal-romance-novel-volume-1-of-the-reflect.epub,3,https://www.smashwords.com/books/download/100171/8/latest/0/0/broken-a-ya-paranormal-romance-novel-volume-1-of-the-reflect.epub,503,,,hit
https://www.smashwords.com/books/download/100290/8/latest/0/0/fall-of-igneeria-the-half-ling.epub,4,https://www.smashwords.com/books/download/100290/8/latest/0/0/fall-of-igneeria-the-half-ling.epub,503,,,hit
https://www.smashwords.com/books/download/100300/8/latest/0/0/reading-brother-lawrence.epub,5,https://www.smashwords.com/signup/login/books/100300,200,,1,location-header|hit
https://www.smashwords.com/books/download/100317/8/latest/0/0/gardner-remembers-the-lost-tapes.epub,6,https://www.smashwords.com/books/download/100317/8/latest/0/0/gardner-remembers-the-lost-tapes.epub,503,,,hit
https://www.smashwords.com/books/download/100401/8/latest/0/0/how-to-die-consciously-secrets-from-beyond-the-veil.epub,7,https://www.smashwords.com/signup/login/books/100401,200,,1,location-header|hit
https://www.smashwords.com/books/download/100588/8/latest/0/0/defining-moments-a-suburban-fathers-journey-into-his-sons-ox.epub,8,https://www.smashwords.com/signup/login/books/100588,200,,1,location-header|hit
https://www.smashwords.com/books/download/100626/8/latest/0/0/a-walk-in-the-garden.epub,9,https://www.smashwords.com/books/download/100626/8/latest/0/0/a-walk-in-the-garden.epub,503,,,hit
https://www.smashwords.com/books/download/100628/8/latest/0/0/the-celestial-paladin.epub,10,https://www.smashwords.com/signup/login/books/100628,200,,1,location-header|hit
https://www.smashwords.com/books/download/10065/8/latest/0/0/uncommon-opportunities-an-agenda-for-peace-and-equitable-dev.epub,11,https://www.smashwords.com/books/download/10065/8/latest/0/0/uncommon-opportunities-an-agenda-for-peace-and-equitable-dev.epub,503,,,hit
https://www.smashwords.com/books/download/100678/8/latest/0/0/escaping-hell.epub,12,https://www.smashwords.com/books/download/100678/8/latest/0/0/escaping-hell.epub,503,,,hit
https://www.smashwords.com/books/download/100970/8/latest/0/0/ties-to-the-blood-moon.epub,13,https://www.smashwords.com/books/download/100970/8/latest/0/0/ties-to-the-blood-moon.epub,503,,,hit
https://www.smashwords.com/books/download/100984/8/latest/0/0/la-revanche-des-trois-revenge-of-three-black-family-series.epub,14,https://www.smashwords.com/books/download/100984/8/latest/0/0/la-revanche-des-trois-revenge-of-three-black-family-series.epub,503,,,hit
https://www.smashwords.com/books/download/100988/8/latest/0/0/conceptive-c.epub,15,https://www.smashwords.com/books/download/100988/8/latest/0/0/conceptive-c.epub,503,,,hit
https://www.smashwords.com/books/download/101051/8/latest/0/0/bound-an-arelia-larue-novel-1-ya-paranormal-romance.epub,16,https://www.smashwords.com/books/download/101051/8/latest/0/0/bound-an-arelia-larue-novel-1-ya-paranormal-romance.epub,503,,,hit
https://www.smashwords.com/books/download/101071/8/latest/0/0/tempt-ava-delaney-3.epub,17,https://www.smashwords.com/signup/login/books/101071,200,,1,location-header|hit
https://www.smashwords.com/books/download/101154/8/latest/0/0/butt-washing-funny.epub,18,https://www.smashwords.com/books/download/101154/8/latest/0/0/butt-washing-funny.epub,503,,,hit
https://www.smashwords.com/books/download/101158/8/latest/0/0/how-gods-bleed.epub,19,https://www.smashwords.com/books/download/101158/8/latest/0/0/how-gods-bleed.epub,503,,,hit
https://www.smashwords.com/books/download/101163/8/latest/0/0/arrival-of-the-traveler.epub,20,https://www.smashwords.com/books/download/101163/8/latest/0/0/arrival-of-the-traveler.epub,503,,,hit
https://www.smashwords.com/books/download/101215/8/latest/0/0/liberty-lost-americas-history-of-slippery-slopes.epub,21,https://www.smashwords.com/books/download/101215/8/latest/0/0/liberty-lost-americas-history-of-slippery-slopes.epub,503,,,hit
https://www.smashwords.com/books/download/101268/8/latest/0/0/black-flagged.epub,22,https://www.smashwords.com/books/download/101268/8/latest/0/0/black-flagged.epub,503,,,hit
https://www.smashwords.com/books/download/101386/8/latest/0/0/paranormal-investigations.epub,23,https://www.smashwords.com/books/download/101386/8/latest/0/0/paranormal-investigations.epub,503,,,hit
https://www.smashwords.com/books/download/10139/8/latest/0/0/the-gift-of-fury.epub,24,https://www.smashwords.com/books/download/10139/8/latest/0/0/the-gift-of-fury.epub,503,,,hit
https://www.smashwords.com/books/download/101510/8/latest/0/0/building-blocks.epub,25,https://www.smashwords.com/books/download/101510/8/latest/0/0/building-blocks.epub,503,,,hit
https://www.smashwords.com/books/download/101538/8/latest/0/0/student-dazed-and-confused.epub,26,https://www.smashwords.com/books/download/101538/8/latest/0/0/student-dazed-and-confused.epub,503,,,hit
https://www.smashwords.com/books/download/101638/8/latest/0/0/it-seemed-funny-at-the-time-a-large-collection-of-short-humo.epub,27,https://www.smashwords.com/signup/login/books/101638,200,,1,location-header|hit
https://www.smashwords.com/books/download/10166/8/latest/0/0/the-storytellers-art-how-not-to-bore-your-reader-to-sleep-te.epub,28,https://www.smashwords.com/books/download/10166/8/latest/0/0/the-storytellers-art-how-not-to-bore-your-reader-to-sleep-te.epub,503,,,hit
https://www.smashwords.com/books/download/101716/8/latest/0/0/the-arab-season.epub,29,https://www.smashwords.com/books/download/101716/8/latest/0/0/the-arab-season.epub,503,,,hit
https://www.smashwords.com/books/download/101759/8/latest/0/0/until-i-die-again.epub,30,https://www.smashwords.com/books/download/101759/8/latest/0/0/until-i-die-again.epub,503,,,hit
